0x000052,393218,R,000052,82,0.41840782,393218
0x000053,718313,S,000053,83,0.76432864,718313
0x000054,495323,T,000054,84,0.52705374,495323
0x000055,176328,,000055,85,0.1876237,176328
0x000056,188454,,000056,86,0.2005265,188454
0x000057,195347,,000057,87,0.20786107,195347
0x000058,32933,,000058,88,0.03504271,32933
0x000059,75835,,000059,89,0.08069304,75835
0x00005a,40640,,00005a,90,0.04324343,40640
0x00005b,33567,,00005b,91,0.03571733,33567
0x00005c,5513,,00005c,92,0.00586617,5513
0x00005d,33496,,00005d,93,0.03564178,33496
0x00005e,1975,,00005e,94,0.00210152,1975
0x00005f,31995,,00005f,95,0.03404462,31995
0x000060,1922,,000060,96,0.00204512,1922
0x000061,5144406,a,000061,97,5.47396031,5144406
0x000062,851830,b,000062,98,0.90639884,851830
0x000063,2026755,c,000063,99,2.15659037,2026755
0x000064,2132449,d,000064,100,2.2690552,2132449
0x000065,7492745,e,000065,101,7.97273557,7492745
0x000066,997775,f,000066,102,1.06169318,997775
0x000067,1279990,g,000067,103,1.36198707,1279990
0x000068,1793540,h,000068,104,1.90843545,1793540
0x000069,4791953,i,000069,105,5.09892892,4791953
0x00006a,123975,,00006a,106,0.13191693,123975
0x00006b,555419,k,00006b,107,0.59099954,555419
0x00006c,2841723,l,00006c,108,3.0237658,2841723
0x00006d,1628606,m,00006d,109,1.73293566,1628606
0x00006e,4296796,n,00006e,110,4.57205181,4296796
0x00006f,4717551,o,00006f,111,5.01976067,4717551
0x000070,1277983,p,000070,112,1.3598515,1277983
0x000071,86573,,000071,113,0.09211893,86573
0x000072,4293069,r,000072,114,4.56808605,4293069
0x000073,4025542,s,000073,115,4.28342108,4025542
0x000074,4566615,t,000074,116,4.8591556,4566615
0x000075,1927266,u,000075,117,2.05072803,1927266
0x000076,691534,v,000076,118,0.73583416,691534
0x000077,682472,w,000077,119,0.72619164,682472
0x000078,194265,,000078,120,0.20670975,194265
0x000079,949434,y,000079,121,1.01025542,949434
0x00007a,210386,,00007a,122,0.22386348,210386
0x00007b,9973,,00007b,123,0.01061188,9973
0x00007c,106251,,00007c,124,0.11305751,106251
0x00007d,10027,,00007d,125,0.01066934,10027
0x00007e,3394,,00007e,126,0.00361142,3394
0x000080,984,,000080,128,0.00104704,984
0x000081,28,,000081,129,0.00002979,28
0x000082,38,,000082,130,0.00004043,38
0x000083,11,,000083,131,0.0000117,11
0x000084,366,,000084,132,0.00038945,366
0x000085,610,,000085,133,0.00064908,610
0x000086,3,,000086,134,0.00000319,3
0x000087,7,,000087,135,0.00000745,7
0x000088,6,,000088,136,0.00000638,6
0x00008b,67,,00008b,139,0.00007129,67
0x00008c,6,,00008c,140,0.00000638,6
0x00008d,5,,00008d,141,0.00000532,5
0x00008e,1,,00008e,142,0.00000106,1
0x00008f,11,,00008f,143,0.0000117,11
0x000090,66,,000090,144,0.00007023,66
0x000091,32,,000091,145,0.00003405,32
0x000092,1438,,000092,146,0.00153012,1438
0x000093,554,,000093,147,0.00058949,554
0x000094,262,,000094,148,0.00027878,262
0x000095,5168,,000095,149,0.00549907,5168
0x000096,515,,000096,150,0.00054799,515
0x000097,60,,000097,151,0.00006384,60
0x000098,4,,000098,152,0.00000426,4
0x000099,98,,000099,153,0.00010428,98
0x00009a,2,,00009a,154,0.00000213,2
0x00009b,34,,00009b,155,0.00003618,34
0x00009c,27,,00009c,156,0.00002873,27
0x00009d,33,,00009d,157,0.00003511,33
0x00009e,3,,00009e,158,0.00000319,3
0x00009f,22,,00009f,159,0.00002341,22
0x0000a0,797309,,0000a0,160,0.84838518,797309
0x0000a1,740,,0000a1,161,0.0007874,740
0x0000a2,150,,0000a2,162,0.00015961,150
0x0000a3,24036,,0000a3,163,0.02557576,24036
0x0000a4,205,,0000a4,164,0.00021813,205
0x0000a5,465,,0000a5,165,0.00049479,465
0x0000a6,119,,0000a6,166,0.00012662,119
0x0000a7,308,,0000a7,167,0.00032773,308
0x0000a8,128,,0000a8,168,0.0001362,128
0x0000a9,10963,,0000a9,169,0.0116653,10963
0x0000aa,60,,0000aa,170,0.00006384,60
0x0000ab,2553,,0000ab,171,0.00271655,2553
0x0000ac,75,,0000ac,172,0.0000798,75
0x0000ad,272,,0000ad,173,0.00028942,272
0x0000ae,1752,,0000ae,174,0.00186423,1752
0x0000af,34,,0000af,175,0.00003618,34
0x0000b0,2261,,0000b0,176,0.00240584,2261
0x0000b1,211,,0000b1,177,0.00022452,211
0x0000b2,942,,0000b2,178,0.00100235,942
0x0000b3,121,,0000b3,179,0.00012875,121
0x0000b4,928,,0000b4,180,0.00098745,928
0x0000b5,770,,0000b5,181,0.00081933,770
